domain,prompt,n_rows,layer,accuracy,auc,separability_auc
math,statement_is,40,6,0.5,0.5277777777777778,0.5277777777777778
math,statement_is,40,7,0.5,0.5277777777777778,0.5277777777777778
math,statement_is,40,8,0.5,0.5000000000000001,0.5000000000000001
math,statement_is,40,9,0.5,0.5000000000000001,0.5000000000000001
math,statement_is,40,10,0.5,0.4722222222222222,0.5277777777777778
math,statement_is,40,11,0.5,0.5277777777777779,0.5277777777777779
math,answer,40,0,0.5,0.5833333333333334,0.5833333333333334
math,answer,40,1,0.5,0.6111111111111112,0.6111111111111112
math,answer,40,2,0.5,0.6111111111111112,0.6111111111111112
math,answer,40,3,0.4166666666666667,0.5833333333333333,0.5833333333333333
math,answer,40,4,0.4166666666666667,0.5,0.5
math,answer,40,5,0.5,0.5,0.5
math,answer,40,6,0.5,0.5555555555555556,0.5555555555555556
math,answer,40,7,0.5,0.5277777777777778,0.5277777777777778
math,answer,40,8,0.5,0.5277777777777778,0.5277777777777778
math,answer,40,9,0.5,0.5277777777777778,0.5277777777777778
math,answer,40,10,0.5,0.5833333333333333,0.5833333333333333
math,answer,40,11,0.5,0.5277777777777778,0.5277777777777778
math,question,40,0,0.5,0.5,0.5
math,question,40,1,0.5,0.5277777777777778,0.5277777777777778
math,question,40,2,0.4166666666666667,0.5555555555555556,0.5555555555555556
math,question,40,3,0.5833333333333334,0.5555555555555556,0.5555555555555556
math,question,40,4,0.5,0.4722222222222223,0.5277777777777777
math,question,40,5,0.5,0.5277777777777778,0.5277777777777778
math,question,40,6,0.5,0.5555555555555555,0.5555555555555555
math,question,40,7,0.5833333333333334,0.5555555555555556,0.5555555555555556
math,question,40,8,0.5,0.5000000000000001,0.5000000000000001
math,question,40,9,0.5,0.5,0.5
math,question,40,10,0.5,0.5833333333333334,0.5833333333333334
math,question,40,11,0.5,0.5,0.5
